LapTime,MaxSpeed,AvgThrottle,AirTemp,Driver,TeamName,GridGroup
102.161,302.0,60.855595629475765,14.9,PIA,McLaren,Top5
102.299,297.0,65.06052588289315,14.8,LEC,Ferrari,Midfield
103.274,300.0,62.111467464233684,14.8,HUL,Haas F1 Team,Top10
103.714,298.0,59.2154988783236,14.8,STR,Aston Martin,Top10
100.021,300.0,63.13074623329003,14.8,PER,Red Bull Racing,Backmarker
102.796,298.0,60.72055988027904,14.8,ALO,Aston Martin,Top10
103.355,302.0,63.01468163607114,14.8,TSU,RB,Midfield
103.336,297.0,64.39426043742394,14.8,OCO,Alpine,Backmarker
103.229,303.0,57.025909213408966,14.8,ALB,Williams,Top10
104.06,299.0,58.953915386285175,14.8,MAG,Haas F1 Team,Backmarker
104.332,303.0,58.50016181837921,14.8,SAR,Williams,Midfield
103.699,298.0,62.90689964056842,14.8,RIC,RB,Midfield
104.51,292.0,62.91218328747603,14.7,BOT,Kick Sauber,Backmarker
103.157,293.0,62.40215232388338,14.7,ZHO,Kick Sauber,Midfield
102.216,300.0,62.36039292453123,14.7,NOR,McLaren,Top5
102.475,300.0,63.82189616088188,14.7,HAM,Mercedes,Top5
102.538,298.0,62.86728247819912,14.7,VER,Red Bull Racing,Top5
103.085,294.0,61.86460487546132,14.7,RUS,Mercedes,Top5
103.298,297.0,65.57966005091036,14.7,SAI,Ferrari,Top10
103.137,300.0,61.59555821676057,14.7,PIA,McLaren,Top5
103.95,299.0,62.13495656676288,14.7,LEC,Ferrari,Midfield
104.134,299.0,59.76107767142451,14.7,HUL,Haas F1 Team,Top10
104.545,296.0,60.19262166483289,14.7,STR,Aston Martin,Top10
102.676,301.0,59.76674511382046,14.6,PER,Red Bull Racing,Backmarker
103.69,299.0,60.67115634072141,14.6,ALO,Aston Martin,Top10
104.456,301.0,63.126974826715156,14.6,TSU,RB,Midfield
104.019,296.0,64.26389943537923,14.6,OCO,Alpine,Backmarker
104.304,304.0,55.14053518643097,14.6,ALB,Williams,Top10
105.084,298.0,59.40815780397515,14.6,MAG,Haas F1 Team,Backmarker
104.912,302.0,58.76208513862225,14.6,SAR,Williams,Midfield
104.144,299.0,62.362668585729125,14.6,RIC,RB,Midfield
105.199,290.0,62.67723416326628,14.6,BOT,Kick Sauber,Backmarker
104.316,294.0,62.53557130053475,14.6,ZHO,Kick Sauber,Midfield
102.607,300.0,60.90237170915501,14.5,NOR,McLaren,Top5
102.435,301.0,63.84635907538861,14.5,HAM,Mercedes,Top5
102.606,298.0,62.633436548818004,14.5,VER,Red Bull Racing,Top5
106.221,296.0,51.94979377273552,14.5,RUS,Mercedes,Top5
103.201,301.0,64.6440361696861,14.5,SAI,Ferrari,Top10
103.325,303.0,60.40174303233095,14.5,PIA,McLaren,Top5
103.795,299.0,64.0657409882723,14.5,LEC,Ferrari,Midfield
103.685,301.0,60.950246880333744,14.5,HUL,Haas F1 Team,Top10
104.213,297.0,60.26782160497501,14.5,STR,Aston Martin,Top10
104.035,304.0,59.32780885361102,14.5,PER,Red Bull Racing,Backmarker
104.262,294.0,59.383524924372104,14.5,ALO,Aston Martin,Top10
104.979,300.0,62.68753996875632,14.5,TSU,RB,Midfield
104.673,294.0,63.552955714031455,14.5,OCO,Alpine,Backmarker
104.82,302.0,55.93040751711329,14.5,ALB,Williams,Top10
